Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
37.61608386039734,26.890684993409607,26.5509,26.639281911108807,26.33813,26.280987416971413,26.09442,26.21081324818697,26.14319,26.161925916235052,26.18726,25.849325353620753,25.91357,25.934789038665144,26.04681,25.837537608174838,25.96521
37.69297289848328,26.887616872157075,26.57007,26.646402673903257,26.35373,26.288128619955224,26.10529,26.21642086080795,26.14835,26.165494964883504,26.18835,25.851581482343327,25.91296,25.936474601074206,26.04758,25.838807802479778,25.96725
37.76772499084473,26.8846340219491,26.58432,26.651799669404085,26.36328,26.295071350392572,26.11182,26.221824538683972,26.1514,26.168964820416264,26.18964,25.853774907399064,25.91379,25.938113317333638,26.04791,25.840042694791656,25.96783
37.8444709777832,26.881571608899925,26.60431,26.65509989110674,26.37646,26.30219926725255,26.11923,26.22729184107933,26.15619,26.17273838466301,26.19357,25.856026838620792,25.91473,25.939795743773743,26.0481,25.841310525915095,25.9668
37.922215938568115,26.87846933356394,26.61691,26.658443070562626,26.3866,26.30872431350755,26.12524,26.232830309307868,26.16022,26.17658362015224,26.19458,25.858308082390106,25.91577,25.941500069730413,26.0484,25.842594859922713,25.96719
37.99895787239075,26.875407082247197,26.63538,26.661743117973682,26.40298,26.31469216035819,26.13577,26.23829732296357,26.16425,26.180379246318463,26.19583,25.860559894682645,25.91681,25.943182407318066,26.05017,25.84386262408934,25.96945
38.072246074676514,26.872482645986963,26.64688,26.66489464843645,26.41263,26.320391427309314,26.14209,26.243503857048694,26.16754,26.184004052267635,26.19751,25.86317904637249,25.91772,25.94478903216181,26.05048,25.84507333317714,25.96936
38.14899396896362,26.86531071132287,26.66318,26.668194952158686,26.4241,26.32635973767628,26.15161,26.248242582181636,26.17529,26.18782775078535,26.20123,25.8659381568376,25.91852,25.946471500414837,26.0498,25.846341195809664,25.97046
38.22474193572998,26.855890133385042,26.67319,26.6714522571179,26.43356,26.33150652439707,26.15817,26.25291956774872,26.17908,26.191641863027865,26.20261,25.868661319600005,25.91965,25.948132048244837,26.05045,25.8476369909084,25.97089
38.300490856170654,26.846469436841215,26.68979,26.6747096030869,26.44928,26.33605737361005,26.16733,26.25759661219951,26.18253,26.195456023290426,26.20505,25.871384516647296,25.92166,25.9497926169813,26.05307,25.8492556855754,25.96985
