label,tau,tau_uncertainty,h,T_inf,T0
12Vfan,217.32531882051126,0.08784832863784818,94.45310678846867,26.351912178132874,29.46757041657745
10Vfan,213.40020200646623,0.1568171435675114,96.19040353940133,26.149795946914605,29.834900427726794
8Vfan,222.41914622625723,0.1868203228873641,92.28994848092115,26.44230759824899,30.639297367944707
6Vfan,240.3631909766183,0.17266165676228135,85.4001457668639,26.77643818026512,30.78390273501373
4Vfan,271.644544316091,0.10705077591831388,75.56585241964612,27.057478608890875,31.091852674503393
fan off,325.49482568046056,0.12273134870355823,63.064140892191105,26.463749898597438,28.95581411394337
h vs voltage,-1.1039757627942324,,,0.023614444717713783,0.0237790172250792
