voltage,label,h_before_correction,h_before_correction_uncertainty,h_after_correction,h_after_correction_uncertainty
12,12Vfan,94.45310678846867,0.038180307803308,42.58896589627757,0.04497974615475232
10,10Vfan,96.19040353940133,0.07068552035015452,44.32626264721023,0.07457804266245342
8,8Vfan,92.28994848092115,0.07751867708782915,40.42580758873005,0.08108382673281857
6,6Vfan,85.4001457668639,0.06134604302736779,33.5360048746728,0.06579345450199643
4,4Vfan,75.56585241964612,0.029779295420116907,23.701711527455014,0.03810837304201283
0,fan off,63.064140892191105,0.02377901722507923,11.2,0.03362860865961049
