Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
230.0122208595276,26.442639415132515,26.39203,26.241979429147953,26.11234,26.047782487624143,25.78369,25.897607522261296,25.79794,25.795394968803272,25.81039,25.731551237614706,25.52032,25.694847895980175,25.63647,25.677180144442023,25.5625
230.0892169475555,26.433762876428077,26.40643,26.242654498258403,26.12888,26.05230516914031,25.79391,25.90249587483932,25.80212,25.79926730654059,25.8129,25.73425518634586,25.52237,25.69671503290923,25.63904,25.678626143649424,25.56296
230.17636895179749,26.423016447056067,26.41409,26.242694563579594,26.13831,26.05698492881449,25.80023,25.907856057510244,25.80652,25.803632370778963,25.81537,25.737358091683685,25.52371,25.698880757665123,25.6395,25.680310566919104,25.56259
230.24083399772644,26.414649675404462,26.42331,26.242253632687838,26.15054,26.06014774645895,25.81152,25.911696442617597,25.81494,25.806842663515212,25.81903,25.73967859627382,25.52505,25.700517222969918,25.63953,25.68158913915711,25.56348
230.31547784805295,26.40458085384865,26.42963,26.24126851889587,26.15988,26.06349419992969,25.81833,25.916004362786104,25.81955,25.810533746036505,25.82132,25.742388658868933,25.52588,25.70244745273171,25.64059,25.683104303903324,25.56381
230.392462015152,26.3938355947151,26.43967,26.239746253805922,26.1713,26.066592324706424,25.827,25.920284150130406,25.82541,25.814304262458414,25.82568,25.74520569500759,25.52945,25.70447657965028,25.64172,25.684706043571293,25.56381
230.46846199035645,26.38293922945529,26.44446,26.237767749686395,26.17914,26.069300792968754,25.83365,25.924339208722294,25.8306,25.817983136428474,25.82846,25.748004407114674,25.53052,25.706516537917647,25.64246,25.68632627312484,25.56512
230.55169486999512,26.370707099391073,26.45102,26.235083287274858,26.19232,26.07187838195996,25.84601,25.92858730291578,25.83737,25.82195973629054,25.8316,25.75108649422159,25.53134,25.70879046236398,25.64392,25.6881439268057,25.5668
230.61933588981628,26.36063466032029,26.4534,26.232538225408103,26.19824,26.07367322579254,25.8501,25.931879381415634,25.84106,25.825141055920792,25.8342,25.753599199278344,25.53342,25.710667809853895,25.64542,25.689655032377573,25.5675
230.695289850235,26.349293801297407,26.45773,26.22933472501841,26.20743,26.07537066568782,25.8598,25.93539345053791,25.84973,25.828648828933595,25.83951,25.756423422869425,25.53604,25.712805660750497,25.64542,25.69138867674139,25.5665
230.77014589309692,26.338123773707167,26.45984,26.225850141860967,26.21362,26.07672790011494,25.86633,25.93866944338113,25.85489,25.83203612277306,25.84235,25.75920631187529,25.5383,25.71494130906042,25.64584,25.693134253316543,25.56686
230.84823489189148,26.326521310849376,26.46265,26.22190238398929,26.2247,26.077824717387628,25.87598,25.941890696716182,25.86041,25.83549258044508,25.84637,25.762105173215208,25.54007,25.717197201196363,25.64896,25.69499310711077,25.56894
230.93335485458377,26.31398397417441,26.46286,26.2172762248212,26.23016,26.078667253446575,25.88229,25.945176045089486,25.86545,25.83916652688577,25.84991,25.765255686241066,25.54199,25.719685936396225,25.65005,25.69706188800513,25.56992
230.99910402297976,26.30441362028093,26.46213,26.213500229421236,26.23727,26.079078378325576,25.89093,25.94755400314691,25.87375,25.84193471911767,25.85449,25.7676794998239,25.5441,25.721627577632862,25.65045,25.698689227106915,25.57089
231.074383020401,26.293615461695836,26.46133,26.208989666658088,26.24207,26.07930568980528,25.89676,25.950107338334774,25.87845,25.845026663285992,25.85718,25.770440976705753,25.54593,25.723869198005776,25.65158,25.700582753820697,25.57098
231.1523489952087,26.282652061713158,26.46057,26.204139593719233,26.24881,26.07928147541749,25.9039,25.95256311731429,25.88376,25.848138607947252,25.86185,25.773282139109483,25.5499,25.726209454987686,25.65372,25.702576792025422,25.57129
231.2319769859314,26.271731843188252,26.45859,26.19903464685204,26.25259,26.079000004057512,25.90915,25.954875100978008,25.88879,25.851218442965322,25.86517,25.776160104396812,25.55188,25.728616643087605,25.65506,25.704646583817933,25.5722
231.30304884910583,26.26225958549197,26.45331,26.19437911813212,26.25858,26.078543022935918,25.91861,25.956772957718968,25.89584,25.853880353581324,25.86905,25.778705252231568,25.55353,25.730777611599795,25.65704,25.706521231183316,25.57465
231.37705302238464,26.252709416983336,26.4512,26.18946188269892,26.26282,26.0778741140606,25.92392,25.958584701763304,25.89978,25.856561966686375,25.87265,25.781328530090164,25.55679,25.733038124613245,25.65808,25.708499444427428,25.57526
231.4541530609131,26.24308624494451,26.44421,26.184263645980565,26.26462,26.076972274657646,25.92947,25.960297569342107,25.90732,25.859259341756132,25.87811,25.784031984905713,25.5596,25.735403282332463,25.65973,25.71058747027805,25.57529
231.53189492225647,26.233789389289605,26.4393,26.17901324515574,26.26611,26.075884786013088,25.93414,25.961850675497313,25.91171,25.86187448821335,25.88046,25.786721018740103,25.56152,25.73779454774623,25.6611,25.712718951418683,25.57587
231.6200840473175,26.223770858016643,26.43158,26.173095949500215,26.27087,26.074464329371033,25.94135,25.96340993727239,25.91739,25.864711851599107,25.88467,25.789721779627236,25.56415,25.74051116363792,25.66428,25.715166108144697,25.57767
231.68131804466248,26.21713343076023,26.42621,26.169019960536346,26.2731,26.073371560258458,25.94492,25.964371720410288,25.92056,25.86660256447403,25.88806,25.791773439276692,25.56677,25.742398441825586,25.66544,25.716882092139066,25.57983
231.7575180530548,26.209226282070382,26.4144,26.163994829415092,26.27277,26.071901596267924,25.95139,25.965436759559232,25.92883,25.86886607415837,25.89365,25.79428901185547,25.56955,25.744746419383773,25.66641,25.719035027664418,25.58093
231.8324429988861,26.20181984670034,26.40659,26.159114491102308,26.27292,26.070349133777366,25.95486,25.966348130528477,25.93301,25.870996755489962,25.89716,25.79672090005799,25.57123,25.747052758923573,25.66714,25.721169207000337,25.58047
231.91061902046204,26.194466910840628,26.39801,26.15409777505975,26.27429,26.06862975798836,25.95859,25.967163064090798,25.93619,25.87312135521542,25.90158,25.79921318740547,25.57645,25.749454705422608,25.67081,25.723412293294597,25.58197
232.0065999031067,26.185940808521504,26.38733,26.148060784583183,26.27396,26.066400469248222,25.96375,25.967985235013497,25.94095,25.875595008966588,25.90442,25.802208322748182,25.57794,25.75239445324122,25.67203,25.726186058050416,25.58478
232.0620539188385,26.181256482097453,26.37265,26.144642168300898,26.27328,26.065062624268514,25.96902,25.96837599319626,25.9469,25.87695774181043,25.90842,25.803905436465595,25.5802,25.75408688348932,25.67413,25.727797211291662,25.58655
232.13643193244937,26.17524001194076,26.36438,26.140145556074202,26.27185,26.06322175822189,25.97144,25.968809255367056,25.95026,25.87871056247427,25.9115,25.80614241822468,25.58224,25.756348341030087,25.67624,25.7299664955211,25.58777
232.2133128643036,26.169329164444868,26.35052,26.135614178631474,26.26859,26.061274937756494,25.97382,25.969154365923764,25.95535,25.880433713503926,25.91727,25.80840635675389,25.58646,25.75867389618349,25.67828,25.732217083980895,25.5881
232.28715991973877,26.16393318406227,26.33939,26.131383418080716,26.26678,26.059375286012507,25.97629,25.969394476019865,25.95813,25.882005683061546,25.92004,25.810533645782833,25.58942,25.76089437909814,25.67981,25.73438502729089,25.58963
232.36690187454224,26.158418942941754,26.32394,26.126941917802164,26.26498,26.057288084241982,25.97989,25.96955372896828,25.96237,25.88361305962455,25.92331,25.812779395004515,25.59232,25.76327714931467,25.68298,25.736731848377122,25.59265
232.4394609928131,26.153607501180083,26.31302,26.123028311843175,26.26221,26.05538539944801,25.98169,25.96962632658015,25.96527,25.88499969369831,25.92587,25.81477504796867,25.59442,25.765428420502396,25.68448,25.738869235648554,25.59293
232.51526308059692,26.14875369172255,26.29462,26.119064199601347,26.25568,26.053400809863604,25.98361,25.969635539567154,25.97116,25.88637439433491,25.93082,25.816811544358224,25.59723,25.76765739565119,25.68607,25.74110234405691,25.59393
232.592218875885,26.143977535863517,26.28308,26.11515922612511,26.25314,26.051390699569964,25.98572,25.9695797665856,25.97342,25.887695841636656,25.93329,25.818829282707295,25.59995,25.769900226701065,25.68854,25.743368154904392,25.59631
232.6683659553528,26.139372658451034,26.26688,26.111403120869298,26.24756,26.049407778377194,25.9859,25.9694645482142,25.97577,25.888932942785917,25.93753,25.820777268747833,25.60403,25.772098791152647,25.69156,25.745607382147263,25.59814
232.74630689620972,26.134753687690207,26.25369,26.10765853566199,26.24313,26.047385867484962,25.9863,25.969289511469878,25.97797,25.890129830838223,25.94058,25.822721958659773,25.60654,25.77432700251252,25.69342,25.74789494731213,25.60117
232.82062101364136,26.13041031071134,26.23376,26.10417209928584,26.23593,26.045466693111603,25.98801,25.969073232355836,25.98279,25.891208686767776,25.94403,25.82453058508211,25.60852,25.776429894851134,25.69513,25.75007045684678,25.60239
