Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
223.114196062088,29.027205409414254,28.89258,29.094083538277125,29.09195,29.12686409554218,29.04312,29.129459800236184,29.1441,29.11315017560571,29.17978,29.088842109728787,28.88516,29.06502613080448,28.97385,29.047410581639635,28.88974
223.1893939971924,29.02566668320322,28.8873,29.090038687936588,29.0838,29.123274334421094,29.03583,29.127031782099774,29.14133,29.111833385268728,29.17963,29.088388786203602,28.88754,29.06515362113649,28.97556,29.047838437277324,28.89163
223.2870981693268,29.024881560406282,28.87646,29.085222569425895,29.07224,29.118713680260313,29.0307,29.123868666131067,29.1391,29.110085007280333,29.17856,29.087757086936822,28.88599,29.065276834892504,28.97391,29.048352850902443,28.88992
223.34421920776367,29.02507692253484,28.87296,29.082660842677857,29.0665,29.11611323310971,29.02603,29.122019033788785,29.13565,29.10904428717515,29.17712,29.08736564103899,28.88589,29.065326673516708,28.97458,29.048631823627073,28.89111
223.4233250617981,29.026184089665005,28.86603,29.079450203136123,29.05835,29.112607728002935,29.01749,29.119463183382592,29.12839,29.107582259022106,29.17474,29.086797013873575,28.88666,29.065368712975616,28.97717,29.048991600231926,28.89291
223.49220204353333,29.027978282620225,28.86316,29.0769963547984,29.05325,29.109659329769723,29.01453,29.11724884216932,29.1264,29.10629153225538,29.17493,29.08627733007236,28.88791,29.065379887756205,28.97818,29.049279706662748,28.89346
223.57120203971863,29.031036151525313,28.8562,29.074601995058423,29.04428,29.10641335736627,29.00854,29.114728923912708,29.12445,29.10479319677225,29.17303,29.085653749340075,28.88641,29.065363683947265,28.97836,29.049581309773757,28.89725
223.646742105484,29.034996971303098,28.85287,29.072762006211487,29.03906,29.10346189783965,29.00327,29.11234668587975,29.12106,29.103345166322015,29.1712,29.0850306892587,28.8855,29.065319325430718,28.9783,29.04984085946694,28.89703
223.72480607032776,29.04017206963842,28.85101,29.07135444326067,29.03171,29.100586775886168,28.99487,29.109921593101983,29.11462,29.10183623297574,29.1701,29.08436023523354,28.88751,29.065244037129307,28.9798,29.050079452842926,28.89578
223.79960203170776,29.046165815048177,28.84851,29.070501583100597,29.02621,29.0980163154504,28.99051,29.10764188934759,29.11288,29.100382104126293,29.16843,29.08369367911127,28.88712,29.06514412049898,28.97989,29.050279847928238,28.89639
223.8850769996643,29.05425961075633,28.84689,29.070151537222788,29.0209,29.095321386693673,28.98618,29.105100346435513,29.10852,29.09871487224918,29.16452,29.082904500029894,28.88501,29.064997044068082,28.98111,29.05047511270989,28.89957
223.9508640766144,29.061389766077216,28.84689,29.07035537943294,29.01718,29.09343863888454,28.98224,29.10319831616245,29.10559,29.097430930131928,29.16299,29.082278244506146,28.88486,29.06486023525822,28.98175,29.050600935197824,28.90079
224.02712202072144,29.070630264505816,28.84683,29.071123690891998,29.00952,29.091480916366454,28.97464,29.10106157601779,29.10172,29.095945837787955,29.16199,29.081533225331714,28.88486,29.06467636247991,28.9819,29.050720238917172,28.89935
