h_W_per_m2K,x_mm,temperature_C
11.2,0.0,30.608697899108947
11.2,0.8367346938775511,30.605326779331698
11.2,1.6734693877551021,30.60201436446672
11.2,2.510204081632653,30.5987569793758
11.2,3.3469387755102042,30.595554322259154
11.2,4.183673469387755,30.592407820686404
11.2,5.020408163265306,30.589319414251502
11.2,5.857142857142857,30.58629108041955
11.2,6.6938775510204085,30.583324796278752
11.2,7.530612244897959,30.58042280014847
11.2,8.36734693877551,30.57758295373655
11.2,9.204081632653061,30.574807479481628
11.2,10.040816326530612,30.57210712129826
11.2,10.877551020408164,30.569486834799125
11.2,11.714285714285714,30.56695147413962
11.2,12.551020408163264,30.564504837349432
11.2,13.387755102040817,30.562179418239882
11.2,14.224489795918368,30.55997890526
11.2,15.061224489795919,30.55786356519757
11.2,15.897959183673468,30.55582715489644
11.2,16.73469387755102,30.553862183615635
11.2,17.57142857142857,30.551960798478785
11.2,18.408163265306122,30.5501155816604
11.2,19.244897959183675,30.548319223955577
11.2,20.081632653061224,30.546564610390483
11.2,20.918367346938776,30.544845623779292
11.2,21.75510204081633,30.543157292065246
11.2,22.591836734693874,30.541496556630296
11.2,23.428571428571427,30.53983344219354
11.2,24.26530612244898,30.538172377853808
11.2,25.10204081632653,30.536547836333334
11.2,25.93877551020408,30.534968327434807
11.2,26.775510204081634,30.53344311909457
11.2,27.612244897959183,30.531980421196653
11.2,28.448979591836736,30.53062787051723
11.2,29.285714285714285,30.529381513918754
11.2,30.122448979591837,30.528203061036045
11.2,30.95918367346939,30.527087862175474
11.2,31.795918367346935,30.52602999524898
11.2,32.63265306122449,30.52502376360991
11.2,33.46938775510204,30.524043936682364
11.2,34.30612244897959,30.523092773624942
11.2,35.14285714285714,30.522186418982596
11.2,35.97959183673469,30.521326291889316
11.2,36.816326530612244,30.520514895941567
11.2,37.6530612244898,30.519755325535044
11.2,38.48979591836735,30.519050914796505
11.2,39.3265306122449,30.518404950566186
11.2,40.16326530612245,30.517820311489977
11.2,41.0,30.517299011297826
11.946218487394958,0.0,30.563710090020802
11.946218487394958,0.8367346938775511,30.56018929819414
11.946218487394958,1.6734693877551021,30.556729668955526
11.946218487394958,2.510204081632653,30.553327580376305
11.946218487394958,3.3469387755102042,30.54998274339383
11.946218487394958,4.183673469387755,30.546696525481668
11.946218487394958,5.020408163265306,30.54347083008008
11.946218487394958,5.857142857142857,30.54030758905986
11.946218487394958,6.6938775510204085,30.537208733994664
11.946218487394958,7.530612244897959,30.534176477144786
11.946218487394958,8.36734693877551,30.531208721708843
11.946218487394958,9.204081632653061,30.52830763432882
11.946218487394958,10.040816326530612,30.525483785575517
11.946218487394958,10.877551020408164,30.52274204814254
11.946218487394958,11.714285714285714,30.520087212144418
11.946218487394958,12.551020408163264,30.517523015480755
11.946218487394958,13.387755102040817,30.51508138757313
11.946218487394958,14.224489795918368,30.512765972651437
11.946218487394958,15.061224489795919,30.51053775109019
11.946218487394958,15.897959183673468,30.50839059269574
11.946218487394958,16.73469387755102,30.50631716441808
11.946218487394958,17.57142857142857,30.504309757360947
11.946218487394958,18.408163265306122,30.502361089826856
11.946218487394958,19.244897959183675,30.500463999321724
11.946218487394958,20.081632653061224,30.49861150343395
11.946218487394958,20.918367346938776,30.49679759841878
11.946218487394958,21.75510204081633,30.495017413534313
11.946218487394958,22.591836734693874,30.493267948457685
11.946218487394958,23.428571428571427,30.491519757948737
11.946218487394958,24.26530612244898,30.489777201923854
11.946218487394958,25.10204081632653,30.488074157764846
11.946218487394958,25.93877551020408,30.486418992867847
11.946218487394958,26.775510204081634,30.484820818314724
11.946218487394958,27.612244897959183,30.483287708168053
11.946218487394958,28.448979591836736,30.481866473315538
11.946218487394958,29.285714285714285,30.480553236598343
11.946218487394958,30.122448979591837,30.47931037836404
11.946218487394958,30.95918367346939,30.478133334755473
11.946218487394958,31.795918367346935,30.47701628832013
11.946218487394958,32.63265306122449,30.475953646064188
11.946218487394958,33.46938775510204,30.474920619167218
11.946218487394958,34.30612244897959,30.47391942956888
11.946218487394958,35.14285714285714,30.47296594213218
11.946218487394958,35.97959183673469,30.472061553184336
11.946218487394958,36.816326530612244,30.47120872386918
11.946218487394958,37.6530612244898,30.470410495177358
11.946218487394958,38.48979591836735,30.46967014542481
11.946218487394958,39.3265306122449,30.46899090317428
11.946218487394958,40.16326530612245,30.468375596887533
11.946218487394958,41.0,30.46782620658775
12.692436974789915,0.0,30.52698555336086
12.692436974789915,0.8367346938775511,30.523306808019086
12.692436974789915,1.6734693877551021,30.519692108371462
12.692436974789915,2.510204081632653,30.516137829287736
12.692436974789915,3.3469387755102042,30.51264363017559
12.692436974789915,4.183673469387755,30.509210855550823
12.692436974789915,5.020408163265306,30.50584136986401
12.692436974789915,5.857142857142857,30.502537069675206
12.692436974789915,6.6938775510204085,30.499299879811847
12.692436974789915,7.530612244897959,30.496131974021885
12.692436974789915,8.36734693877551,30.493031291377772
12.692436974789915,9.204081632653061,30.489999949298866
12.692436974789915,10.040816326530612,30.48704841791439
12.692436974789915,10.877551020408164,30.484181506611602
12.692436974789915,11.714285714285714,30.481403905448243
12.692436974789915,12.551020408163264,30.478719320996824
12.692436974789915,13.387755102040817,30.476159261531542
12.692436974789915,14.224489795918368,30.47372730606867
12.692436974789915,15.061224489795919,30.471384966208156
12.692436974789915,15.897959183673468,30.46912618154224
12.692436974789915,16.73469387755102,30.466943705525203
12.692436974789915,17.57142857142857,30.464829924968367
12.692436974789915,18.408163265306122,30.462777652795932
12.692436974789915,19.244897959183675,30.460779804569977
12.692436974789915,20.081632653061224,30.458829490518706
12.692436974789915,20.918367346938776,30.45692077616151
12.692436974789915,21.75510204081633,30.455048848849074
12.692436974789915,22.591836734693874,30.453210736849144
12.692436974789915,23.428571428571427,30.451377378129344
12.692436974789915,24.26530612244898,30.44955306552781
12.692436974789915,25.10204081632653,30.44777122805003
12.692436974789915,25.93877551020408,30.446040118786552
12.692436974789915,26.775510204081634,30.444368727436917
12.692436974789915,27.612244897959183,30.44276501564815
12.692436974789915,28.448979591836736,30.441275183829624
12.692436974789915,29.285714285714285,30.43989539959251
12.692436974789915,30.122448979591837,30.438588531276988
12.692436974789915,30.95918367346939,30.437350070262692
12.692436974789915,31.795918367346935,30.4361742719738
12.692436974789915,32.63265306122449,30.43505561316693
12.692436974789915,33.46938775510204,30.433969621942854
12.692436974789915,34.30612244897959,30.432918490575005
12.692436974789915,35.14285714285714,30.431917875349733
12.692436974789915,35.97959183673469,30.430969152171507
12.692436974789915,36.816326530612244,30.43007474858605
12.692436974789915,37.6530612244898,30.429237665072716
12.692436974789915,38.48979591836735,30.4284611346515
12.692436974789915,39.3265306122449,30.427748343500728
12.692436974789915,40.16326530612245,30.42710208314689
12.692436974789915,41.0,30.426524305438637
13.438655462184872,0.0,30.48576671690278
13.438655462184872,0.8367346938775511,30.48191652759644
13.438655462184872,1.6734693877551021,30.47813321266132
13.438655462184872,2.510204081632653,30.4744132584694
13.438655462184872,3.3469387755102042,30.470756463369757
13.438655462184872,4.183673469387755,30.467164127298588
13.438655462184872,5.020408163265306,30.463638179804818
13.438655462184872,5.857142857142857,30.46018036610694
13.438655462184872,6.6938775510204085,30.456792689017632
13.438655462184872,7.530612244897959,30.453477265325596
13.438655462184872,8.36734693877551,30.450232007985647
13.438655462184872,9.204081632653061,30.447059076910065
13.438655462184872,10.040816326530612,30.443968712411035
13.438655462184872,10.877551020408164,30.440965640451438
13.438655462184872,11.714285714285714,30.43805450089053
13.438655462184872,12.551020408163264,30.435238921378225
13.438655462184872,13.387755102040817,30.43254987908433
13.438655462184872,14.224489795918368,30.429990912709684
13.438655462184872,15.061224489795919,30.427524150542897
13.438655462184872,15.897959183673468,30.425143638509606
13.438655462184872,16.73469387755102,30.422842253408838
13.438655462184872,17.57142857142857,30.42061250316469
13.438655462184872,18.408163265306122,30.41844733478659
13.438655462184872,19.244897959183675,30.41633976368501
13.438655462184872,20.081632653061224,30.414283027248143
13.438655462184872,20.918367346938776,30.41227128597671
13.438655462184872,21.75510204081633,30.41029980607334
13.438655462184872,22.591836734693874,30.408365666809615
13.438655462184872,23.428571428571427,30.406440287386634
13.438655462184872,24.26530612244898,30.404527888254755
13.438655462184872,25.10204081632653,30.402661342374873
13.438655462184872,25.93877551020408,30.400848761691208
13.438655462184872,26.775510204081634,30.39909898276707
13.438655462184872,27.612244897959183,30.3974198350554
13.438655462184872,28.448979591836736,30.395856744364416
13.438655462184872,29.285714285714285,30.39440594125461
13.438655462184872,30.122448979591837,30.39303091100491
13.438655462184872,30.95918367346939,30.391727217484675
13.438655462184872,31.795918367346935,30.390489211251946
13.438655462184872,32.63265306122449,30.3893114587529
13.438655462184872,33.46938775510204,30.38816989616234
13.438655462184872,34.30612244897959,30.387066674977074
13.438655462184872,35.14285714285714,30.386017190011756
13.438655462184872,35.97959183673469,30.38502279241094
13.438655462184872,36.816326530612244,30.38408586696222
13.438655462184872,37.6530612244898,30.38320936273529
13.438655462184872,38.48979591836735,30.38239645755563
13.438655462184872,39.3265306122449,30.381650282963605
13.438655462184872,40.16326530612245,30.38097358165361
13.438655462184872,41.0,30.38036827380366
14.184873949579831,0.0,30.447740822157527
14.184873949579831,0.8367346938775511,30.443725434563582
14.184873949579831,1.6734693877551021,30.439779888489902
14.184873949579831,2.510204081632653,30.43590075649493
14.184873949579831,3.3469387755102042,30.432087778823234
14.184873949579831,4.183673469387755,30.428342295438352
14.184873949579831,5.020408163265306,30.424666145789754
14.184873949579831,5.857142857142857,30.421061184202692
14.184873949579831,6.6938775510204085,30.417529254274662
14.184873949579831,7.530612244897959,30.41407248446133
14.184873949579831,8.36734693877551,30.410688853213834
14.184873949579831,9.204081632653061,30.407380455049182
14.184873949579831,10.040816326530612,30.40415740049804
14.184873949579831,10.877551020408164,30.40102435337236
14.184873949579831,11.714285714285714,30.39798588919319
14.184873949579831,12.551020408163264,30.395045580239934
14.184873949579831,13.387755102040817,30.3922340053396
14.184873949579831,14.224489795918368,30.389554648629094
14.184873949579831,15.061224489795919,30.386970118145598
14.184873949579831,15.897959183673468,30.38447452584653
14.184873949579831,16.73469387755102,30.382060834770968
14.184873949579831,17.57142857142857,30.37972164656694
14.184873949579831,18.408163265306122,30.377449966731565
14.184873949579831,19.244897959183675,30.375238919657306
14.184873949579831,20.081632653061224,30.373081805830974
14.184873949579831,20.918367346938776,30.370972857928535
14.184873949579831,21.75510204081633,30.368907378737237
14.184873949579831,22.591836734693874,30.366882493637824
14.184873949579831,23.428571428571427,30.36486997256631
14.184873949579831,24.26530612244898,30.362873974524838
14.184873949579831,25.10204081632653,30.360926939741983
14.184873949579831,25.93877551020408,30.359036872793975
14.184873949579831,26.775510204081634,30.35721249005005
14.184873949579831,27.612244897959183,30.355461510972454
14.184873949579831,28.448979591836736,30.353828776443834
14.184873949579831,29.285714285714285,30.352310560054345
14.184873949579831,30.122448979591837,30.350870806006455
14.184873949579831,30.95918367346939,30.34950513197484
14.184873949579831,31.795918367346935,30.34820795477761
14.184873949579831,32.63265306122449,30.346973906450984
14.184873949579831,33.46938775510204,30.345779225281238
14.184873949579831,34.30612244897959,30.3446260333403
14.184873949579831,35.14285714285714,30.34352952418788
14.184873949579831,35.97959183673469,30.342491028519987
14.184873949579831,36.816326530612244,30.341512898603007
14.184873949579831,37.6530612244898,30.340598043282778
14.184873949579831,38.48979591836735,30.339749596833098
14.184873949579831,39.3265306122449,30.33897064997382
14.184873949579831,40.16326530612245,30.33826390878681
14.184873949579831,41.0,30.337631266664218
14.93109243697479,0.0,30.411717367811143
14.93109243697479,0.8367346938775511,30.407523812558342
14.93109243697479,1.6734693877551021,30.403403956078865
14.93109243697479,2.510204081632653,30.39935420598291
14.93109243697479,3.3469387755102042,30.395374348865623
14.93109243697479,4.183673469387755,30.391465533395287
14.93109243697479,5.020408163265306,30.38762959789881
14.93109243697479,5.857142857142857,30.383868291157185
14.93109243697479,6.6938775510204085,30.380183408138727
14.93109243697479,7.530612244897959,30.376577004109002
14.93109243697479,8.36734693877551,30.37304705684826
14.93109243697479,9.204081632653061,30.36959561130722
14.93109243697479,10.040816326530612,30.366232599132218
14.93109243697479,10.877551020408164,30.362962606202625
