Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
230.03938484191897,26.706512162963538,26.83658,26.677320334918104,26.72324,26.601696388103278,26.42041,26.507957758467292,26.40002,26.41939539309063,26.36575,26.34894991653281,26.04361,26.300948867438255,26.13748,26.2751988198667,26.05328
230.1166648864746,26.699519154459672,26.82535,26.67222871805386,26.72272,26.599608362014855,26.42264,26.508318345599427,26.40356,26.42110673228058,26.37091,26.35110791316699,26.04816,26.303082655402033,26.14026,26.277209675553916,26.05374
230.19343185424805,26.6929180594467,26.81592,26.667284048745998,26.72153,26.597474262050902,26.42548,26.50856127621966,26.40756,26.422712606327508,26.37357,26.353202923260767,26.04999,26.30519229225109,26.14194,26.2792181988464,26.05457
230.2697138786316,26.68667323728961,26.79956,26.662485121831583,26.7204,26.595304896620764,26.43176,26.50869639448341,26.41339,26.4242181589858,26.37686,26.35523625525321,26.05136,26.30727709282532,26.14368,26.281222999658695,26.05673
230.3550078868866,26.680029606496426,26.79007,26.657257843674422,26.71838,26.592834433924352,26.43277,26.508731200651912,26.41638,26.425798459800212,26.38013,26.35745212603516,26.05386,26.309592587779125,26.14526,26.283472896038543,26.0585
230.4208869934082,26.67512083873447,26.77478,26.65332293552342,26.71371,26.59090270819733,26.43405,26.508680388504256,26.42075,26.42694682549497,26.38528,26.359121589571643,26.05838,26.311368353550076,26.14728,26.285215013179503,26.05872
230.49537587165833,26.669781005478942,26.76382,26.64898386759416,26.7106,26.588702897224778,26.43591,26.50854795867381,26.42377,26.42817183969152,26.38763,26.360964761200183,26.06082,26.31336144466486,26.14871,26.287187697262652,26.05923
230.57252097129825,26.664488171193423,26.74673,26.644612105163326,26.70801,26.586407540476245,26.43982,26.508328413247302,26.42709,26.429359571062808,26.39008,26.362824165156397,26.06345,26.31540855488373,26.15189,26.289232973527366,26.06247
230.64677095413208,26.659567415298607,26.73544,26.640521322550327,26.7048,26.58419670657617,26.44037,26.50804924203799,26.42987,26.430429202695315,26.39319,26.364565902744342,26.06509,26.317360366197914,26.15393,26.29120125037968,26.06345
230.72310090065,26.65461622077623,26.71704,26.63643019721619,26.69626,26.581937651554078,26.44214,26.507705758512063,26.43451,26.431458841438168,26.39828,26.366307355294683,26.06851,26.31934570135523,26.15503,26.293221714024018,26.06488
