Time (s),Tc (K),Th (K),Qc (W),Qh (W),Voltage (V),Current (A),Power (W)
0.0,298.89182,298.89182,0.0,0.0,0.0,0.0,0.0
0.6725429808413302,298.8906607986823,298.8408606544511,-0.019496729175971037,0.019496829387768828,0.0,0.0001001415368626099,0.0
1.3450859616826605,298.8881479597888,298.7934435218035,-0.03707669742189676,0.03707705983034619,0.0,0.00019043816265927144,0.0
2.0176289425239906,298.88501382246824,298.7493266178884,-0.05312136399284367,0.0531221079286167,0.0,0.0002728491133706872,0.0
2.690171923365321,298.8815963653054,298.7082633591686,-0.06785959235652865,0.06786080636073216,0.0,0.000348549866501871,0.0
3.3627149042066513,298.8779922486179,298.6700558282003,-0.08140671569582986,0.0814084627999146,0.0,0.0004181327791673575,0.0
4.035257885047981,298.8742903305889,298.6345084213898,-0.09387410517834655,0.09387642839910705,0.0,0.0004821698665685084,0.0
4.707800865889312,298.8705619140924,298.6014611723425,-0.10535230605529379,0.10535523214369068,0.0,0.0005411261807715296,0.0
5.380343846730642,298.8668490664501,298.57068956078,-0.11594568960860445,0.11594923373339563,0.0,0.0005955377943602565,0.0
6.052886827571972,298.86317342640496,298.54201884574707,-0.12573114034871583,0.12573530794741528,0.0,0.0006457996010662133,0.0
6.725429808413303,298.8595421922673,298.5153286393504,-0.1347586100219546,0.1347633975748397,0.0,0.0006921681599557591,0.0
7.3979727892546325,298.8559625623476,298.49049855369674,-0.1430780499335047,0.14308344686467533,0.0,0.0007349000300954818,0.0
8.070515770095962,298.85244173495624,298.4674082008928,-0.15073941099713284,0.15074540138252077,0.0,0.0007742517705520834,0.0
8.743058750937292,298.84898690840356,298.44593719304544,-0.15779264378114308,0.1577992078766269,0.0,0.0008104799403916949,0.0
9.415601731778624,298.84560528099996,298.4259651422612,-0.16428769855107217,0.1642948141538528,0.0,0.0008438410986812466,0.0
10.088144712619954,298.84230403641885,298.4073717387673,-0.1702744889945131,0.17028213264764472,0.0,0.0008745916179641081,0.0
10.760687693461284,298.8390838224949,298.39005855334096,-0.17579180384273416,0.17579995087086714,0.0,0.0009029307291654744,0.0
11.433230674302614,298.83594145466805,298.3739466854308,-0.18086928603072702,0.18087791048788504,0.0,0.0009290106871803487,0.0
12.105773655143944,298.8328767017746,298.3589527829398,-0.1855394773115475,0.1855485529023909,0.0,0.0009529986372676472,0.0
12.778316635985275,298.8299026363708,298.34499892524616,-0.18983800110549148,0.18984750209127227,0.0,0.0009750775547348879,0.0
13.450859616826605,298.8693620577286,298.3314829226907,0.9895035741471003,-0.48542511454517473,1.5789045274294282,0.3170877409956764,0.5006512698504434
14.123402597667935,299.1409651354397,298.31776065286004,3.994545679992219,-0.42191166520954987,4.212573598645125,0.8447710008902799,3.558660015251411
14.795945578509265,299.60959617105095,298.3064049712448,7.001597131301813,0.6240772527071488,6.152980023547711,1.234094275733528,7.593357425762979
15.468488559350595,300.10012505701656,298.29800405463124,8.396126141568628,1.4149738931725524,6.974313229329574,1.399481362572014,9.760421381186175
16.141031540191925,300.4148959495975,298.2909041540968,7.499661915867913,1.2438514993333802,6.5775678343221395,1.320722927494774,8.687144645941396
16.813574521033257,300.4318281278865,298.28303577456205,4.781584045397152,0.38566740164754043,5.048753640491639,1.0147918734440584,5.123434165392021
17.486117501874585,300.17142150397603,298.27397164202495,1.5038325472538467,-0.12951686783972183,2.5918565343039077,0.5225565581969823,1.3543916299062089
18.158660482715916,299.79080874014403,298.265839670592,-0.7640655091042826,0.7782835600526841,-0.2896250441675148,-0.05489981183073191,0.015900360426263978
18.831203463557248,299.46603950361265,298.2620834307532,-1.383442746571886,3.3163742303910118,-3.125845549139816,-0.6231940156842452,1.9480082401771663
19.503746444398576,299.3030638924073,298.26516414308054,-0.7364429883956816,6.597880867955113,-5.427326344471716,-1.0841523993018587,5.884048878153197
20.176289425239908,299.2823746941479,298.27445610156155,0.0903311528784203,8.99258098353043,-6.751822598806727,-1.3493008782387463,9.11024016228213
20.848832406081236,299.2986743045144,298.2861511736865,0.20616042669608625,9.298124680163651,-6.906382831764123,-1.380225713787435,9.532367173660923
21.521375386922568,299.25610477553073,298.2951490743459,-0.4737408124457522,7.327878038102606,-5.8665147372723245,-1.1722074526138153,6.876772295899397
22.1939183677639,299.1437152283126,298.297439237594,-1.186807652984309,3.976052542163815,-3.7458897635051316,-0.7480105556852492,2.80196508353516
22.866461348605227,299.0596791085778,298.292447637835,-0.8092696097333625,1.0108346735567386,-1.01511737335229,-0.20162548003303268,0.20467352769202674
23.53900432944656,299.13640942097254,298.28290380435675,1.1866997888593767,-0.4439007126520158,1.913627775911096,0.3847148224156241,0.736200969979243
24.211547310287887,299.4406748303032,298.2728110780775,4.318173759229289,-0.19896487443142508,4.519072096639508,0.9068074870574597,4.097928411785158
24.88409029112922,299.91645139270184,298.26505600904034,7.135897888879447,0.8572462160332585,6.294709035611627,1.2631604886389807,7.951227741263389
25.55663327197055,300.391243949246,298.25994101640003,8.321561073568118,1.567249890381943,6.997028128809317,1.4046895243024637,9.828652113788118
26.22917625281188,300.66836349126095,298.2556410802427,7.1847688504846206,1.2836134588177586,6.468396652432878,1.2994537170789409,8.405382073544882
26.90171923365321,300.6411038211691,298.2501952939766,4.252389700088268,0.37629741834585906,4.773029930804383,0.9600946631771957,4.582560563750308
27.57426221449454,300.3517302109835,298.2435039347056,1.0839667269947344,-0.012362410671213686,2.282166669635842,0.4609982515162125,1.0520748443707009
